confidence_score,setup_type_swing,setup_type_scalp,has_3_bar_pattern,has_pop_fade,has_dip_and_rip,has_mean_reversal,volume_spike,atr_ratio,trend_up,trend_down,rr_ratio,rsi,stoch,bb_distance,win
6,0,1,0,0,0,0,0,1.0,1,0,2.0,64.05588792966131,77.76587165628266,0.9699594923415026,0
6,0,1,0,0,0,0,0,1.0,0,1,1.0702391123644865,27.496436894572923,14.136163913670856,0.043733574308937234,1
6,0,1,0,0,0,0,0,1.0,0,1,1.0777629612083266,27.823984507443143,11.21049499841026,0.11171813254353646,1
6,0,1,0,0,0,0,0,1.0,0,1,2.0,37.94849462739263,6.257164607336011,-0.14783074342405755,1
5,0,1,0,0,0,0,0,1.0,0,1,1.0184654783603442,37.94849462739263,6.257164607336011,-0.14783074342405755,1
6,0,1,0,0,0,0,0,1.0,0,1,1.0453765136733684,37.94849462739263,6.257164607336011,-0.14783074342405755,1
5,0,1,0,0,0,0,0,1.0,1,0,2.0,59.45665471914561,80.13560225705429,1.1383652602918708,0
6,0,1,0,0,0,0,0,1.0,1,0,2.0,59.45665471914561,80.13560225705429,1.1383652602918708,0
6,0,1,0,0,0,0,0,1.0,1,0,2.0,62.08975572727721,82.47083916972282,0.9616406800204474,0
9,0,1,0,0,0,0,0,1.0,0,1,0.9942788228025691,34.04060244553828,7.800340330044813,-0.10342781627764719,1
6,0,1,0,0,0,0,0,1.0,0,1,1.0383990807682206,34.04060244553828,7.800340330044813,-0.10342781627764719,1
5,0,1,0,0,0,0,0,1.0,0,1,0.9997801794070598,33.45497894814112,4.865464045805555,-0.02848724127999369,1
9,0,1,0,0,0,0,0,1.0,1,0,2.0,62.784826781173656,88.87359068508182,1.0721487754118535,0
5,0,1,0,0,0,0,0,1.0,1,0,2.0,62.784826781173656,88.87359068508182,1.0721487754118535,0
6,0,1,0,0,0,0,1,1.0,1,0,2.0,69.82502458173728,84.61085498768016,0.9454272360120204,0
4,0,1,0,0,0,0,0,1.0,1,0,0.9929236296078845,64.5270143171891,89.95400592648696,1.2017721051981805,1
6,0,1,0,0,0,0,1,1.0,1,0,1.0174459398694393,72.54209504859043,94.76455476408391,1.0434291034638095,1
4,0,1,0,0,0,0,1,1.0,1,0,2.0,65.66809983974414,85.56123997548742,0.8304815146584422,1
6,0,1,0,0,0,0,0,1.0,1,0,2.0,65.11016904157381,83.8350120213328,1.157861729431312,1
6,0,1,0,0,0,0,0,1.0,1,0,1.1024756603321217,69.4258155938226,92.08639365178624,1.0480027001428807,1
6,0,1,0,0,0,0,0,1.0,0,1,2.0,37.264794041059425,-4.8061810150484146,-0.05931047959714795,0
6,0,1,0,0,0,0,0,1.0,1,0,1.0719129606729167,68.93223020809147,83.68207136586861,1.2200421022810717,1
4,0,1,0,0,0,0,1,1.0,1,0,1.03051779793113,68.38908588835179,92.23647096203085,1.0375284571585883,1
6,0,1,0,0,0,0,0,1.0,1,0,2.0,68.78612165515493,84.72338177571004,0.925098351262353,1
4,0,1,0,0,0,0,0,1.0,1,0,2.0,64.75203489485935,87.60655664806357,1.0588092479870446,1
6,0,1,0,0,0,0,0,1.0,0,1,1.1349409003633157,36.453970233677616,5.462359360531564,-0.08635721251134242,1
7,0,1,0,1,0,0,0,1.0,0,1,1.0892080723986468,36.87299259578496,1.6453438041634803,0.08913733671086836,1
8,0,1,0,1,0,0,0,1.0,0,1,1.0725461329391337,36.87299259578496,1.6453438041634803,0.08913733671086836,1
5,0,1,0,0,0,0,0,1.0,0,1,1.0489993986621053,38.03799451903029,8.350800843273909,0.10128343165042668,1
7,0,1,0,0,0,0,1,1.0,0,1,1.0744935613506532,33.45590806759908,11.205934943898544,-0.17306685856175572,1
6,0,1,0,1,0,0,0,1.0,0,1,2.0,28.22297340721184,-0.521076946674838,-0.28211306769958233,1
7,0,1,0,1,0,0,0,1.0,0,1,2.0,28.22297340721184,-0.521076946674838,-0.28211306769958233,1
8,0,1,0,1,0,0,0,1.0,0,1,2.0,28.22297340721184,-0.521076946674838,-0.28211306769958233,1
5,0,1,0,1,0,0,0,1.0,0,1,1.0560641295435789,28.22297340721184,-0.521076946674838,-0.28211306769958233,1
5,0,1,0,1,0,0,0,1.0,0,1,1.0556848196333737,28.22297340721184,-0.521076946674838,-0.28211306769958233,1
5,0,1,0,0,0,0,0,1.0,0,1,2.0,26.617458779055383,9.78304208455747,-0.12774604090501657,1
7,0,1,0,0,0,0,0,1.0,0,1,1.0932783516035394,26.617458779055383,9.78304208455747,-0.12774604090501657,1
5,0,1,0,0,0,0,0,1.0,0,1,1.097828534879154,26.617458779055383,9.78304208455747,-0.12774604090501657,1
5,0,1,0,1,0,0,0,1.0,0,1,1.0769171510556426,32.772739481126564,10.224533555068314,0.06698137627302393,1
6,0,1,0,1,0,0,0,1.0,0,1,1.1046259259323412,32.772739481126564,10.224533555068314,0.06698137627302393,1
7,0,1,0,0,0,0,0,1.0,0,1,2.0,29.947815333114832,6.7750660353035705,0.06244230991770908,1
5,0,1,1,0,0,0,0,1.0,0,1,2.0,32.501908591459525,24.304131172265397,0.0870197760270046,1
6,0,1,1,0,0,0,0,1.0,0,1,1.0794278995635924,32.501908591459525,24.304131172265397,0.0870197760270046,1
6,0,1,0,0,0,0,0,1.0,1,0,2.0,65.22300795605595,88.0509110230323,1.1306325245612499,0
5,0,1,0,0,0,0,0,1.0,1,0,2.0,67.6964526348151,96.57882080622157,1.1090899561847216,0
6,0,1,0,0,0,0,0,1.0,1,0,2.0,68.83428958553355,86.67978108493286,1.0585551154578956,0
5,0,1,0,0,0,0,0,1.0,1,0,2.0,63.37190378636245,78.43940613740672,0.8845809206015369,0
7,0,1,0,0,0,0,0,1.0,0,1,1.0510877371124747,39.4548801668309,5.401367539373965,-0.16528443599554166,1
4,0,1,0,0,0,0,0,1.0,0,1,1.0645942730501172,37.2799488809476,-5.711515653580018,-0.13567396426921066,1
6,0,1,0,0,0,0,0,1.0,0,1,1.0884303838454275,37.2799488809476,-5.711515653580018,-0.13567396426921066,1
8,0,1,1,0,0,0,1,1.0,0,1,1.0598001249046431,36.94917445385091,7.949205786297196,0.022871556956824288,1
8,0,1,0,0,0,0,0,1.0,1,0,2.0,62.2068526841067,90.6386426480371,0.999135575005588,0
4,0,1,0,0,0,0,1,1.0,1,0,2.0,64.75202501579372,84.36785701326885,1.0893805783210762,0
6,0,1,0,0,0,0,1,1.0,1,0,2.0,64.75202501579372,84.36785701326885,1.0893805783210762,0
