Date,Asset,Signal,EntryPrice,InitialStopLoss,TrailingStop,ExitPrice,ExitType,PnL
2025-03-19 13:45:00-04:00,Unknown,SELL,233.02,293.02,278.99,278.99,Trailing SL,-45.97
2025-03-19 14:50:00-04:00,Unknown,BUY,235.87,175.87,280.99,280.9,Trailing SL,45.03
2025-03-19 14:55:00-04:00,Unknown,BUY,237.47,177.47,280.99,280.9,Trailing SL,43.43
2025-03-19 15:00:00-04:00,Unknown,BUY,238.67,178.67,280.99,280.9,Trailing SL,42.23
2025-03-19 15:05:00-04:00,Unknown,BUY,240.78,180.78,280.99,280.9,Trailing SL,40.12
2025-03-19 15:15:00-04:00,Unknown,SELL,239.05,299.05,278.99,278.99,Trailing SL,-39.94
2025-03-19 15:20:00-04:00,Unknown,SELL,237.78,297.78,278.99,278.99,Trailing SL,-41.21
2025-03-19 19:25:00-04:00,Unknown,BUY,239.52,179.52,280.99,280.9,Trailing SL,41.38
2025-03-19 19:45:00-04:00,Unknown,BUY,239.96,179.96,280.99,280.9,Trailing SL,40.94
2025-03-20 04:00:00-04:00,Unknown,BUY,241.64,181.64,280.99,280.9,Trailing SL,39.26
2025-03-20 04:05:00-04:00,Unknown,SELL,240.77,300.77,278.99,278.99,Trailing SL,-38.22
2025-03-20 04:15:00-04:00,Unknown,SELL,239.67,299.67,278.99,278.99,Trailing SL,-39.32
2025-03-20 04:20:00-04:00,Unknown,BUY,240.19,180.19,280.99,280.9,Trailing SL,40.71
2025-03-20 04:25:00-04:00,Unknown,SELL,239.88,299.88,278.99,278.99,Trailing SL,-39.11
2025-03-20 05:10:00-04:00,Unknown,SELL,236.92,296.92,278.99,278.99,Trailing SL,-42.07
2025-03-20 05:15:00-04:00,Unknown,BUY,237.78,177.78,280.99,280.9,Trailing SL,43.12
2025-03-20 05:20:00-04:00,Unknown,SELL,236.7,296.7,278.99,278.99,Trailing SL,-42.29
2025-03-20 05:25:00-04:00,Unknown,SELL,234.94,294.94,278.99,278.99,Trailing SL,-44.05
2025-03-20 05:35:00-04:00,Unknown,BUY,235.43,175.43,280.99,280.9,Trailing SL,45.47
2025-03-20 06:55:00-04:00,Unknown,BUY,233.56,173.56,280.99,280.9,Trailing SL,47.34
2025-03-20 07:00:00-04:00,Unknown,SELL,232.02,292.02,278.99,278.99,Trailing SL,-46.97
2025-03-20 07:10:00-04:00,Unknown,BUY,232.6,172.6,280.99,280.9,Trailing SL,48.3
2025-03-20 09:05:00-04:00,Unknown,SELL,232.1,292.1,278.99,278.99,Trailing SL,-46.89
2025-03-20 09:10:00-04:00,Unknown,BUY,232.77,172.77,280.99,280.9,Trailing SL,48.13
2025-03-20 09:25:00-04:00,Unknown,BUY,233.39,173.39,280.99,280.9,Trailing SL,47.51
2025-03-20 10:05:00-04:00,Unknown,SELL,236.23,296.23,278.99,278.99,Trailing SL,-42.76
2025-03-20 11:25:00-04:00,Unknown,SELL,234.07,294.07,278.99,278.99,Trailing SL,-44.92
2025-03-20 11:30:00-04:00,Unknown,SELL,231.27,291.27,278.99,278.99,Trailing SL,-47.72
2025-03-20 11:45:00-04:00,Unknown,BUY,232.5,172.5,280.99,280.9,Trailing SL,48.4
2025-03-20 11:55:00-04:00,Unknown,SELL,231.92,291.92,278.99,278.99,Trailing SL,-47.07
2025-03-20 13:05:00-04:00,Unknown,BUY,235.53,175.53,280.99,280.9,Trailing SL,45.37
2025-03-20 13:20:00-04:00,Unknown,SELL,234.87,294.87,278.99,278.99,Trailing SL,-44.12
2025-03-20 13:25:00-04:00,Unknown,SELL,234.27,294.27,278.99,278.99,Trailing SL,-44.72
2025-03-20 13:35:00-04:00,Unknown,BUY,236.16,176.16,280.99,280.9,Trailing SL,44.74
2025-03-20 13:50:00-04:00,Unknown,SELL,235.08,295.08,278.99,278.99,Trailing SL,-43.91
